,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:"
"Id","Id2","Geography",,,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races",,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races"
"1000000US060750103001009",60750103001009,"Block 1009, Block Group 1, Census Tract 103, San Francisco County, California",49,46,39,0,0,6,0,0,1,3,1,0,0,0,0,1,1
"1000000US060750103001010",60750103001010,"Block 1010, Block Group 1, Census Tract 103, San Francisco County, California",114,109,55,0,0,53,0,0,1,5,4,0,0,1,0,0,0
"1000000US060750103001011",60750103001011,"Block 1011, Block Group 1, Census Tract 103, San Francisco County, California",230,207,140,2,0,54,1,0,10,23,13,1,0,1,0,8,0
"1000000US060750103001012",60750103001012,"Block 1012, Block Group 1, Census Tract 103, San Francisco County, California",296,292,146,0,0,142,0,0,4,4,3,0,0,0,0,1,0
"1000000US060750103001013",60750103001013,"Block 1013, Block Group 1, Census Tract 103, San Francisco County, California",202,197,172,2,1,17,0,1,4,5,4,1,0,0,0,0,0
"1000000US060750103002000",60750103002000,"Block 2000, Block Group 2, Census Tract 103, San Francisco County, California",195,179,75,0,0,99,1,2,2,16,7,0,0,0,0,9,0
"1000000US060750103002001",60750103002001,"Block 2001, Block Group 2, Census Tract 103, San Francisco County, California",146,134,60,5,0,67,0,0,2,12,6,0,0,2,0,1,3
"1000000US060750103002002",60750103002002,"Block 2002, Block Group 2, Census Tract 103, San Francisco County, California",129,128,38,2,0,84,0,0,4,1,1,0,0,0,0,0,0
"1000000US060750103002003",60750103002003,"Block 2003, Block Group 2, Census Tract 103, San Francisco County, California",197,188,160,1,1,24,0,2,0,9,9,0,0,0,0,0,0
"1000000US060750103002004",60750103002004,"Block 2004, Block Group 2, Census Tract 103, San Francisco County, California",168,159,84,1,0,68,0,0,6,9,2,0,0,2,0,4,1
"1000000US060750103002005",60750103002005,"Block 2005, Block Group 2, Census Tract 103, San Francisco County, California",311,298,139,0,0,150,0,1,8,13,10,0,0,0,0,1,2
"1000000US060750103003000",60750103003000,"Block 3000, Block Group 3, Census Tract 103, San Francisco County, California",287,271,137,1,0,116,0,0,17,16,8,0,0,0,0,6,2
"1000000US060750103003001",60750103003001,"Block 3001, Block Group 3, Census Tract 103, San Francisco County, California",111,108,88,0,0,18,0,0,2,3,3,0,0,0,0,0,0
"1000000US060750103003002",60750103003002,"Block 3002, Block Group 3, Census Tract 103, San Francisco County, California",198,184,141,2,0,39,0,0,2,14,9,1,0,0,0,3,1
"1000000US060750103003003",60750103003003,"Block 3003, Block Group 3, Census Tract 103, San Francisco County, California",36,36,29,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750103003004",60750103003004,"Block 3004, Block Group 3, Census Tract 103, San Francisco County, California",42,40,27,0,0,13,0,0,0,2,0,0,0,0,0,2,0
"1000000US060750103003005",60750103003005,"Block 3005, Block Group 3, Census Tract 103, San Francisco County, California",168,164,141,5,0,17,0,0,1,4,4,0,0,0,0,0,0
"1000000US060750103003006",60750103003006,"Block 3006, Block Group 3, Census Tract 103, San Francisco County, California",133,127,106,1,1,13,0,0,6,6,4,0,0,0,0,2,0
"1000000US060750103003007",60750103003007,"Block 3007, Block Group 3, Census Tract 103, San Francisco County, California",194,185,163,2,0,16,0,0,4,9,6,0,0,0,0,1,2
"1000000US060750104001000",60750104001000,"Block 1000, Block Group 1, Census Tract 104, San Francisco County, California",292,277,98,2,0,168,0,1,8,15,3,0,3,0,0,6,3
"1000000US060750104001001",60750104001001,"Block 1001, Block Group 1, Census Tract 104, San Francisco County, California",182,179,90,5,0,79,0,0,5,3,1,0,0,0,0,0,2
"1000000US060750104001002",60750104001002,"Block 1002, Block Group 1, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750104001003",60750104001003,"Block 1003, Block Group 1, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750104001004",60750104001004,"Block 1004, Block Group 1, Census Tract 104, San Francisco County, California",49,48,11,0,0,35,0,2,0,1,1,0,0,0,0,0,0
"1000000US060750104001005",60750104001005,"Block 1005, Block Group 1, Census Tract 104, San Francisco County, California",107,101,26,1,0,74,0,0,0,6,6,0,0,0,0,0,0
"1000000US060750104002000",60750104002000,"Block 2000, Block Group 2, Census Tract 104, San Francisco County, California",262,238,182,0,0,45,0,2,9,24,12,0,0,0,0,3,9
"1000000US060750104002001",60750104002001,"Block 2001, Block Group 2, Census Tract 104, San Francisco County, California",280,270,183,4,0,66,0,0,17,10,5,0,0,0,0,1,4
